name,newname
GlomusclonePa087_AY236266_1,seqqq371
GlomusclonePa063_AY236261_1,seqqq372
GlomusclonePa060_AY236260_1,seqqq373
GlomusclonePa099_AY236272_1,seqqq374
GlomusclonePa098_AY236271_1,seqqq375
GlomusclonePa016_AY236233_1,seqqq376
GlomusclonePa043_AY236251_1,seqqq377
GlomusclonePa037_AY236247_1,seqqq378
GlomusclonePa096_AY236270_1,seqqq379
GlomusclonePa040_AY236250_1,seqqq380
GlomusclonePa035_AY236246_1,seqqq381
GlomusclonePa095_AY236269_1,seqqq382
GlomusclonePa059_AY236259_1,seqqq383
G_sp_B22_2__G_mosseae___G_coronatum,seqqq384
G_sp_08_48_1_G_intraG_coronatum,seqqq385
G_coronatum__B22_17,seqqq386
GlomusclonePa024_AY236238_1,seqqq387
GlomusclonePa039_AY236249_1,seqqq388
GlomusclonePa034_AY236245_1,seqqq389
GlomusclonePa058_AY236258_1,seqqq390
GlomusclonePa032_AY236243_1,seqqq391
GlomusclonePa075_AY236264_1,seqqq392
GlomusclonePa026_AY236239_1,seqqq393
